Fear Prayer	نمازِ خوف	भय की नमाज़	ভয়ের নামাজ	Salat khauf
Fighting for the Cause of Allah (Jihaad)	جہاد فی سبیل اللہ	अल्लाह के मार्ग में जिहाद	আল্লাহর পথে জিহাদ	Jihad fi sabilillah
Food, Meals	کھانا	भोजन	খাবার	Makanan
Foods (Kitab Al-At'imah)	کھانے (کتاب الاطعمہ)	भोजन (किताब अल-अतिमाह)	খাবার (কিতাবুল আতিমাহ)	Makanan (Kitab Al-At'imah)
Forgetfulness in Prayer	نماز میں سہو	नमाज़ में भूल	নামাজে ভুল	Lupa dalam salat
Friday Prayer	نمازِ جمعہ	जुमे की नमाज़	জুমার নামাজ	Salat Jumat
Funerals (Al-Janaa'iz)	جنازے	जनाज़े	জানাজা	Jenazah (Al-Janaiz)
Funerals (Kitab Al-Jana'iz)	جنازے (کتاب الجنائز)	जनाज़े (किताब अल-जनाइज़)	জানাজা (কিতাবুল জানাইজ)	Jenazah (Kitab Al-Jana'iz)
Game (Kitab Al-Said)	شکار (کتاب الصید)	शिकार (किताब अस-सैद)	শিকার (কিতাবুস সাইদ)	Buruan (Kitab Al-Said)
General Behavior (Kitab Al-Adab)	عام آداب (کتاب الادب)	सामान्य आचरण (किताब अल-अदब)	সাধারণ আচরণ (কিতাবুল আদাব)	Adab umum (Kitab Al-Adab)
Gifts	ہبہ	उपहार	উপহার	Hadiah
Good Manners and Form (Al-Adab)	حسنِ اخلاق (الادب)	सदाचार (अल-अदब)	সদাচার (আল-আদাব)	Akhlak mulia (Al-Adab)
Hajj (Pilgrimage)	حج	हज	হজ	Haji
Hiring	اجارہ	किराए पर लेना	ভাড়া	Sewa-menyewa
Holding Fast to the Qur'an and Sunnah	قرآن و سنت کو مضبوطی سے تھامنا	कुरआन और सुन्नत को मज़बूती से थामना	কুরআন ও সুন্নাহকে দৃঢ়ভাবে আঁকড়ে ধরা	Berpegang teguh pada Al-Qur'an dan Sunah
Hot Baths (Kitab Al-Hammam)	حمام (کتاب الحمّام)	गरम स्नान (किताब अल-हम्माम)	গরম স্নান (কিতাবুল হাম্মাম)	Pemandian (Kitab Al-Hammam)
Hunting, Slaughtering	شکار اور ذبیحہ	शिकार और ज़बह	শিকার ও জবাই	Berburu dan menyembelih
Interpretation of Dreams	تعبیرِ خواب	स्वप्न व्याख्या	স্বপ্নের ব্যাখ্যা	Tafsir mimpi
Introduction	مقدمہ	भूमिका	ভূমিকা	Pendahuluan
Invocations	دعائیں	दुआएँ	দোয়াসমূহ	Doa-doa
Invoking Allah for Rain (Istisqaa)	نمازِ استسقاء	वृष्टि की दुआ (इस्तिस्का)	ইস্তিসকা	Salat istisqa
Jihad (Kitab Al-Jihad)	جہاد (کتاب الجہاد)	जिहाद (किताब अल-जिहाद)	জিহাদ (কিতাবুল জিহাদ)	Jihad (Kitab Al-Jihad)
Jizyah and Mawaada'ah	جزیہ اور معاہدہ	जज़िया और संधि	জিজিয়া ও সন্ধি	Jizyah dan perjanjian damai
Judgments (Ahkaam)	احکام	निर्णय (अहकाम)	আহকাম	Hukum-hukum (Ahkam)
Kafalah	کفالت	कफ़ालत	কাফালাহ	Kafalah
Khusoomaat	خصومات	विवाद	বিবাদ	Perselisihan
Knowledge	علم	ज्ञान	জ্ঞান	Ilmu
Knowledge (Kitab Al-Ilm)	علم (کتاب العلم)	ज्ञान (किताब अल-इल्म)	জ্ঞান (কিতাবুল ইলম)	Ilmu (Kitab Al-Ilm)
Laws of Inheritance (Al-Faraa'id)	فرائض	विरासत के नियम (अल-फ़राइद)	ফারায়েজ	Hukum waris (Al-Faraid)
Limits and Punishments set by Allah (Hudood)	حدود	अल्लाह की निर्धारित हदें	হুদুদ	Hudud
Loans, Payment of Loans, Freezing of Property, Bankruptcy	قرض، ادائیگی، جائیداد روکنا اور دیوالیہ پن	कर्ज़, भुगतान, संपत्ति रोकना और दिवालियापन	ঋণ, পরিশোধ, সম্পত্তি স্থগিত ও দেউলিয়াত্ব	Utang, pelunasan, pembekuan harta, dan pailit
Lost Things Picked up by Someone (Luqatah)	لقطہ	पड़ी हुई वस्तु (लुक़ता)	লুকতা	Barang temuan (Luqatah)
Makaatib	مکاتب	मुकातब	মুকাতাব	Muktab (budak yang menebus diri)
Manumission of Slaves	غلاموں کی آزادی	दास मुक्ति	দাসমুক্তি	Memerdekakan budak
Marriage (Kitab Al-Nikah)	نکاح (کتاب النکاح)	निकाह (किताब अन-निकाह)	নিকाह (কিতাবুন নিকাহ)	Pernikahan (Kitab Al-Nikah)
Medicine	طب	चिकित्सा	চিকিৎসা	Pengobatan
Medicine (Kitab Al-Tibb)	طب (کتاب الطب)	चिकित्सा (किताब अत-तिब्ब)	চিকিৎসা (কিতাবুত তিব্ব)	Pengobatan (Kitab Al-Tibb)
Menstrual Periods	حیض	मासिक धर्म	হায়েজ	Haid
Merits of the Helpers in Madinah (Ansaar)	فضائلِ انصار	मदीना के अंसार की फ़ज़ीलत	আনসারের ফজিলত	Keutamaan Ansar
Military Expeditions led by the Prophet (pbuh) (Al-Maghaazi)	غزواتِ نبوی (المغازی)	नबी की सैन्य यात्राएँ (अल-मगाज़ी)	নবীর সামরিক অভিযান (আল-মাগাজি)	Ekspedisi Nabi (Al-Maghazi)
Model Behavior of the Prophet (Kitab Al-Sunnah)	اسوۂ رسول (کتاب السنّہ)	नबी का आदर्श आचरण (किताब अस-सुन्नह)	নবীর আদর্শ আচরণ (কিতাবুস সুন্নাহ)	Keteladanan Nabi (Kitab Al-Sunnah)
Mortgaging	رہن	गिरवी	বন্ধক	Gadai
Oaths and Vows	قسمیں اور منتیں	क़समें और मन्नतें	শপথ ও মানত	Sumpah dan nazar
Oaths and Vows (Kitab Al-Aiman Wa Al-Nudhur)	قسمیں اور منتیں (کتاب الایمان والنذور)	क़समें और मन्नतें (किताब अल-ऐमान वन-नुधूर)	শপথ ও মানত (কিতাবুল আইমান ওয়ান নুধুর)	Sumpah dan nazar (Kitab Al-Aiman Wa Al-Nudhur)
Obligatory Charity Tax (Zakat)	زکوٰۃ	ज़कात	যাকাত	Zakat
One-fifth of Booty to the Cause of Allah (Khumus)	خمس	युद्ध-लूट का पाँचवाँ भाग (खुमुस)	খুমুস	Khums
Oneness, Uniqueness of Allah (Tawheed)	توحید	अल्लाह की एकता (तौहीद)	তাওহীদ	Tauhid
Oppressions	مظالم	अत्याचार	অত্যাচার	Kezaliman
Partnership	شراکت	साझेदारी	অংশীদারিত্ব	Persekutuan
Patients	مریض	रोगी	রোগী	Orang sakit
Peacemaking	صلح	सुलह	সন্ধি	Perdamaian
Penalty of Hunting while on Pilgrimage	احرام میں شکار کی سزا	तीर्थयात्रा के दौरान शिकार का दंड	ইহরাম অবস্থায় শিকারের শাস্তি	Denda berburu saat ihram
Pilgrims Prevented from Completing the Pilgrimage	احصار	हज पूरा न कर पाने वाले हाजी	হজ পূর্ণ করতে বাধাপ্রাপ্ত হজযাত্রী	Jamaah yang terhalang menyempurnakan haji
Prayer (Kitab Al-Salat)	نماز (کتاب الصلوٰۃ)	नमाज़ (किताब अस-सलात)	নামাজ (কিতাবুস সালাত)	Salat (Kitab Al-Salat)
Prayer (Kitab Al-Salat): Detailed Injunctions about Ramadan	نماز: رمضان کے تفصیلی احکام	नमाज़: रमज़ान के विस्तृत अहकाम	নামাজ: রমজানের বিস্তারিত বিধান	Salat: hukum rinci tentang Ramadan
Prayer (Kitab Al-Salat): Detailed Injunctions about Witr	نماز: وتر کے تفصیلی احکام	नमाज़: वित्र के विस्तृत अहकाम	নামাজ: বিতরের বিস্তারিত বিধান	Salat: hukum rinci tentang witir
Prayer (Kitab Al-Salat): Detailed Rules of Law about the Prayer during Journey	نماز: سفر کی نماز کے تفصیلی احکام	नमाज़: यात्रा की नमाज़ के विस्तृत नियम	নামাজ: সফরের নামাজের বিস্তারিত বিধান	Salat: hukum rinci salat dalam perjalanan
Prayer (Kitab Al-Salat): Prostration while reciting the Qur'an	نماز: تلاوت کی سجدے	नमाज़: कुरआन पढ़ते समय सजदा	নামাজ: কুরআন তিলাওয়াতে সিজদা	Salat: sujud tilawah
Prayer (Kitab Al-Salat): Voluntary Prayers	نماز: نوافل	नमाज़: नफ़्ल नमाज़ें	নামাজ: নফল নামাজ	Salat: salat sunah
Prayer at Night (Tahajjud)	نمازِ تہجد	ताहज्जुद	তাহাজ্জুদ	Salat tahajud
Prayers (Salat)	نماز	नमाज़	নামাজ	Salat
Praying at Night in Ramadaan (Taraweeh)	تراویح	तरावीह	তারাবিহ	Salat tarawih
Prescribed Punishments (Kitab Al-Hudud)	حدود (کتاب الحدود)	निर्धारित दंड (किताब अल-हुदूद)	হুদুদ (কিতাবুল হুদুদ)	Hudud (Kitab Al-Hudud)
Prophetic Commentary on the Qur'an (Tafseer of the Prophet (pbuh))	تفسیرِ نبوی	नबी की तफ़सीर	নবীর তাফসির	Tafsir Nabi atas Al-Qur'an
Prophets	انبیاء	नबीगण	নবীগণ	Para nabi
Prostration During Recital of Qur'an	سجدۂ تلاوت	तिलावत का सजदा	তিলাওয়াতের সিজদা	Sujud tilawah
Purification (Kitab Al-Taharah)	طہارت (کتاب الطہارۃ)	पवित्रता (किताब अत-तहारह)	পবিত্রতা (কিতাবুত তাহারাহ)	Bersuci (Kitab Al-Taharah)
Representation, Authorization, Business by Proxy	وکالت	प्रतिनिधित्व और अधिकृत व्यापार	প্রতিনিধিত্ব ও অনুমোদিত ব্যবসা	Perwakilan dan usaha melalui wakil
Retiring to a Mosque for Remembrance of Allah (I'tikaf)	اعتکاف	एतिकाफ़	ইতিকাফ	Iktikaf
Revelation	وحی	वह्य	ওয়াহী	Wahyu
Rubbing hands and feet with dust (Tayammum)	تیمم	तयम्मुम	তায়াম্মুম	Tayamum
Sacrifice (Kitab Al-Dahaya)	قربانی (کتاب الضحایا)	कुरबानी (किताब अद-दहाया)	কুরবানি (কিতাবুদ দাহায়া)	Kurban (Kitab Al-Dahaya)
Sacrifice on Occasion of Birth (`Aqiqa)	عقیقہ	अक़ीक़ा	আকিকা	Akikah
Sales and Trade	خرید و فروخت	खरीद-बिक्री	ক্রয়-বিক্রয়	Jual beli
Sales in which a Price is paid for Goods to be Delivered Later (As-Salam)	بیعِ سلم	बाद में माल देने वाली बिक्री (अस-सलम)	পরে পণ্য সরবরাহের বিক্রি (আস-সলম)	Jual beli salam
Shares of Inheritance (Kitab Al-Fara'id)	حصوںِ میراث (کتاب الفرائض)	विरासत के हिस्से (किताब अल-फ़राइद)	মিরাসের অংশ (কিতাবুল ফারাইদ)	Bagian warisan (Kitab Al-Fara'id)
Shortening the Prayers (At-Taqseer)	قصرِ نماز	नमाज़ क़सर करना	নামাজ কসর	Mengqasar salat
Shuf'a	شفعہ	शुफ़आ	শুফআ	Syuf'ah
Signet-Rings (Kitab Al-Khatam)	انگوٹھیاں (کتاب الخاتم)	अंगूठियाँ (किताब अल-खातम)	আংটি (কিতাবুল খাতাম)	Cincin (Kitab Al-Khatam)
Supplication	دعا	दुआ	দোয়া	Doa
Supporting the Family	نان و نفقہ	परिवार का भरण-पोषण	পরিবারের ভরণপোষণ	Nafkah keluarga
The Book Concerning the Use of Correct Words	کتابِ الفاظ کی درستگی	सही शब्दों के प्रयोग की किताब	সঠিক শব্দ ব্যবহারের কিতাব	Kitab penggunaan kata yang benar
The Book Of Faith and its Signs	کتاب الایمان اور اس کی علامات	ईमान और उसकी निशानियों की किताब	ঈমান ও তার নিদর্শনের কিতাব	Kitab iman dan tanda-tandanya
The Book Of The Prayer For Rain (Kitab al-Istisqa')	کتاب الاستسقاء	वृष्टि की नमाज़ की किताब	ইস্তিসকার কিতাব	Kitab salat istisqa
The Book On The Mosques And The Congregations	کتاب المساجد والجماعات	मस्जिदों और जमाअतों की किताब	মসজিদ ও জামাতের কিতাব	Kitab masjid dan jamaah
The Book Pertaining to the Remembrance of Allah, Supplication, Repentance and Seeking Forgiveness	کتاب ذکر، دعا، توبہ اور استغفار	अल्लाह की याद, दुआ, तौबा और इस्तिग़फ़ार की किताब	যিকির, দোয়া, তওবা ও ইস্তিগফারের কিতাব	Kitab zikir, doa, tobat, dan istigfar
The Book of 'Umra	کتاب العمریٰ	उम्री (आजीवन दान) की किताब	উমরী (জীবনকালীন দান)-এর কিতাব	Kitab umra (hibah seumur hidup)
The Book of Adornment	کتاب الزینہ	श्रृंगार की किताब	সৌন্দর্যের কিতাব	Kitab perhiasan
The Book of Agriculture	کتاب المزارعہ	कृषि की किताब	কৃষির কিতাব	Kitab pertanian
The Book of Clothes and Adornment	کتاب لباس و زینت	वस्त्र और श्रृंगार की किताब	পোশাক ও সৌন্দর্যের কিতাব	Kitab pakaian dan perhiasan
The Book of Commentary on the Qur'an	کتاب تفسیر القرآن	कुरआन की तफ़सीर की किताब	কুরআনের তাফসিরের কিতাব	Kitab tafsir Al-Qur'an
The Book of Cutting off the Hand of the Thief	کتاب قطع ید السارق	चोर का हाथ काटने की किताब	চোরের হাত কাটার কিতাব	Kitab potong tangan pencuri
The Book of Destiny	کتاب القدر	तक़दीर की किताब	তাকদিরের কিতাব	Kitab takdir
The Book of Distribution of Al-Fay'	کتاب الفیء	अल-फ़य के वितरण की किताब	আল-ফাই বণ্টনের কিতাব	Kitab pembagian fai
The Book of Divorce	کتاب الطلاق	तलाक की किताब	তালাকের কিতাব	Kitab talak
The Book of Dreams	کتاب الرؤیا	स्वप्नों की किताब	স্বপ্নের কিতাব	Kitab mimpi
The Book of Drinks	کتاب الاشربہ	पेय की किताब	পানীয়ের কিতাব	Kitab minuman
The Book of Eclipses	کتاب الکسوف	ग्रहण की किताब	গ্রহণের কিতাব	Kitab gerhana
The Book of Emancipating Slaves	کتاب العتق	दास मुक्ति की किताब	দাসমুক্তির কিতাব	Kitab memerdekakan budak
The Book of Endowments	کتاب الوقف	वक्फ़ की किताब	ওয়াকফের কিতাব	Kitab wakaf
The Book of Faith	کتاب الایمان	ईमान की किताब	ঈমানের কিতাব	Kitab iman
The Book of Fasting	کتاب الصیام	रोज़े की किताब	রোজার কিতাব	Kitab puasa
The Book of Fighting [The Prohibition of Bloodshed]	کتاب القتال [خونریزی کی ممانعت]	युद्ध की किताब [रक्तपात का निषेध]	যুদ্ধের কিতাব [রক্তপাত নিষিদ্ধ]	Kitab berperang [larangan pertumpahan darah]
The Book of Financial Transactions	کتاب المعاملات	वित्तीय लेन-देन की किताब	আর্থিক লেনদেনের কিতাব	Kitab transaksi keuangan
The Book of Forgetfulness (In Prayer)	کتاب السہو	नमाज़ में भूल की किताब	নামাজে ভুলের কিতাব	Kitab sahwi (lupa dalam salat)
The Book of Funerals	کتاب الجنائز	जनाज़ों की किताब	জানাজার কিতাব	Kitab jenazah
The Book of Ghusl and Tayammum	کتاب الغسل والتیمم	ग़ुस्ल और तयम्मुम की किताब	গোসল ও তায়াম্মুমের কিতাব	Kitab ghusl dan tayamum
The Book of Gifts	کتاب الہبہ	उपहारों की किताब	উপহারের কিতাব	Kitab hadiah
The Book of Greetings	کتاب السلام	अभिवादन की किताब	সালামের কিতাব	Kitab salam
The Book of Hajj	کتاب الحج	हज की किताब	হজের কিতাব	Kitab haji
The Book of Heart-Melting Traditions	کتاب الرقائق	हृदय पिघलाने वाली रिवायतों की किताब	হৃদয় গলানো হাদিসের কিতাব	Kitab riwayat yang melembutkan hati
The Book of Horses, Races and Shooting	کتاب الخیل، دوڑ اور تیراندازی	घोड़े, दौड़ और निशानेबाज़ी की किताब	ঘোড়া, দৌড় ও তীরন্দাজির কিতাব	Kitab kuda, pacuan, dan memanah
The Book of Hunting and Slaughtering	کتاب الصید والذبائح	शिकार और ज़बह की किताब	শিকার ও জবাইয়ের কিতাব	Kitab berburu dan menyembelih
The Book of Hunting, Slaughter, and what may be Eaten	کتاب الصید، ذبیحہ اور حلال کھانے	शिकार, ज़बह और खाने योग्य वस्तुओं की किताब	শিকার, জবাই ও খাদ্যের কিতাব	Kitab buruan, sembelihan, dan yang halal dimakan
The Book of I'tikaf	کتاب الاعتکاف	एतिकाफ़ की किताब	ইতিকাফের কিতাব	Kitab iktikaf
The Book of Invoking Curses	کتاب اللعان	लियान की किताब	লিআনের কিতাব	Kitab lian
The Book of Jihad	کتاب الجہاد	जिहाद की किताब	জিহাদের কিতাব	Kitab jihad
The Book of Jihad and Expeditions	کتاب الجہاد والغزوات	जिहाद और सैन्य यात्राओं की किताब	জিহাদ ও অভিযানের কিতাব	Kitab jihad dan ekspedisi
The Book of Judicial Decisions	کتاب القضاء	न्यायिक निर्णयों की किताब	বিচারিক সিদ্ধান্তের কিতাব	Kitab keputusan hakim
The Book of Jumu'ah (Friday Prayer)	کتاب الجمعہ	जुमे की किताब	জুমার কিতাব	Kitab Jumat
The Book of Knowledge	کتاب العلم	ज्ञान की किताब	জ্ঞানের কিতাব	Kitab ilmu
The Book of Leading the Prayer (Al-Imamah)	کتاب الامامہ	नमाज़ की इमामत की किताब	ইমামতির কিতাব	Kitab imamah
The Book of Legal Punishments	کتاب الحدود	कानूनी दंड की किताब	আইনি শাস্তির কিতাব	Kitab hukuman syariat
The Book of Lost Property	کتاب اللقطہ	खोई हुई संपत्ति की किताब	হারানো সম্পত্তির কিতাব	Kitab barang temuan
The Book of Lost and Found Items	کتاب اشیائے گمشدہ	खोई-पाई वस्तुओं की किताब	হারানো ও পাওয়া জিনিসের কিতাব	Kitab barang hilang dan temuan
The Book of Manners and Etiquette	کتاب الآداب	शिष्टाचार की किताब	শিষ্টাচারের কিতাব	Kitab adab
The Book of Manumission of Slaves	کتاب العتق	दास मुक्ति की किताब	দাসমুক্তির কিতাব	Kitab memerdekakan budak
The Book of Marriage	کتاب النکاح	निकाह की किताब	নিকाहের কিতাব	Kitab pernikahan
The Book of Menstruation	کتاب الحیض	मासिक धर्म की किताब	হায়েজের কিতাব	Kitab haid
